数の子	鲱鱼子
ツッコミ	吐槽
赤ちゃん	宝宝
幼馴染	青梅竹马
サキュバス	魅魔
ハイエルフ	高等精灵
ダークエルフ	暗精灵
ヴァンパイア	吸血鬼
ケダモノ	禽兽
責め	责难
先輩	前辈
ツンデレ	傲娇
ヤンデレ	病娇
クーデレ	三无
ヒロイン	女主角
モブ	路人角色
ハーレム	后宫
ギャル	辣妹
ゴスロリ	哥特萝莉
メイド	女仆
エルフ	精灵
ドワーフ	矮人
ゴブリン	哥布林
オーク	半兽人
スライム	史莱姆
ドラゴン	巨龙
ゴーレム	魔像
ホムンクルス	人造人
アンデッド	不死族
リッチ	巫妖
デュラハン	无头骑士
ギルド	公会
クエスト	任务
ダンジョン	地下城
ファンタジー	奇幻
サイバーパンク	赛博朋克
ディストピア	反乌托邦




















===================================
キンタマ	蛋蛋
口まんこ	嘴穴
オチンポ	肉棒
チンポ	肉棒
まんこ	小穴
膣	阴道
ドＭ	抖M
乳首	乳头
生挿入	无套插入
生チンポ	无套肉棒
生オチンポ	无套肉棒
ディルド	假阳具
ハリガタ	假阳具
バイブ	振动棒
生ディルド	人肉假阳具
生バイブ	人肉振动棒
生オナホ	人肉飞机杯
